DE_18032_sum_rec_d	SRR34919949
DE_18033_aut_ile_g	SRR34919948
DE_18033_aut_mid_d	SRR34919947
DE_18033_aut_rec_g	SRR34919946
DE_18033_spr_ile_d	SRR34919945
DE_18033_spr_mid_d	SRR34919944
DE_18033_spr_rec_d	SRR34919943
FR_19767_aut_ile_d	SRR34919942
FR_19767_aut_mid_d	SRR34919940
FR_19767_aut_rec_d	SRR34919939
FR_19767_spr_ile_g	SRR34919938
FR_19767_spr_mid_d	SRR34919937
FR_19767_spr_rec_g	SRR34919936
FR_19767_sum_ile_d	SRR34919935
FR_19767_sum_mid_d	SRR34919934
FR_19767_sum_rec_d	SRR34919933
FR_19768_aut_ile_d	SRR34919932
FR_19768_aut_mid_d	SRR34920100
FR_19768_aut_rec_d	SRR34920003
FR_19768_spr_ile_d	SRR34920002
FR_19768_spr_mid_g	SRR34920096
FR_19768_spr_rec_d	SRR34920095
FR_19768_sum_ile_d	SRR34920094
FR_19768_sum_mid_d	SRR34920093
FR_19768_sum_rec_d	SRR34920092
FR_19769_aut_ile_d	SRR34920091
FR_19769_aut_mid_d	SRR34920090
FR_19769_aut_rec_d	SRR34920089
FR_19769_spr_ile_d	SRR34920087
FR_19769_spr_mid_d	SRR34920086
FR_19769_spr_rec_d	SRR34920085
FR_19769_sum_ile_d	SRR34920084
FR_19769_sum_mid_d	SRR34920083
FR_19769_sum_rec_d	SRR34920082
FR_19770_aut_ile_d	SRR34920081
FR_19770_aut_mid_d	SRR34920080
FR_19770_aut_rec_d	SRR34920079
FR_19770_spr_ile_g	SRR34920078
FR_19770_spr_mid_g	SRR34919983
FR_19770_spr_rec_d	SRR34919982
FR_19770_sum_ile_d	SRR34920001
FR_19770_sum_mid_d	SRR34920000
FR_19770_sum_rec_d	SRR34919999
FR_19771_aut_ile_d	SRR34919998
FR_19771_aut_mid_d	SRR34919997
FR_19771_aut_rec_d	SRR34919996
FR_19771_spr_ile_d	SRR34919995
FR_19771_spr_mid_d	SRR34919994
FR_19771_spr_rec_g	SRR34919991
FR_19771_sum_ile_d	SRR34919990
FR_19771_sum_mid_d	SRR34919989
FR_19771_sum_rec_d	SRR34919988
FR_19772_aut_ile_d	SRR34919987
FR_19772_aut_mid_d	SRR34919986
FR_19772_aut_rec_d	SRR34919985
FR_19772_spr_ile_d	SRR34919916
FR_19772_spr_mid_d	SRR34919915
FR_19772_spr_rec_d	SRR34919914
FR_19772_sum_ile_d	SRR34919912
FR_19772_sum_mid_d	SRR34919981
FR_19772_sum_rec_d	SRR34919980
FR_19773_aut_ile_d	SRR34919931
FR_19773_aut_mid_d	SRR34919930
FR_19773_aut_rec_d	SRR34919929
FR_19773_spr_ile_d	SRR34919928
FR_19773_spr_mid_d	SRR34919927
FR_19773_spr_rec_g	SRR34919926
FR_19773_sum_ile_d	SRR34919925
FR_19773_sum_mid_d	SRR34919923
FR_19773_sum_rec_d	SRR34919922
FR_19774_spr_ile_d	SRR34919921
FR_19774_spr_mid_g	SRR34919920
FR_19774_spr_rec_d	SRR34919919
FR_19774_sum_ile_d	SRR34919918
FR_19774_sum_mid_d	SRR34919917
FR_19774_sum_rec_d	SRR34920292
NL_19100_aut_ile_d	SRR34920291
NL_19100_aut_mid_d	SRR34920290
NL_19100_aut_rec_d	SRR34919910
NL_19100_sum_ile_d	SRR34919909
NL_19100_sum_mid_d	SRR34919908
NL_19100_sum_rec_d	SRR34920307
NL_19101_aut_ile_d	SRR34920306
NL_19101_aut_mid_d	SRR34920305
NL_19101_aut_rec_d	SRR34920304
NL_19101_spr_ile_d	SRR34920303
NL_19101_spr_mid_d	SRR34920302
NL_19101_spr_rec_d	SRR34920301
NL_19101_sum_ile_d	SRR34920299
NL_19101_sum_mid_d	SRR34920298
NL_19101_sum_rec_d	SRR34920297
NL_19102_aut_ile_d	SRR34920296
NL_19102_aut_mid_d	SRR34920295
NL_19102_aut_rec_d	SRR34920294
NL_19102_spr_ile_d	SRR34920293
NL_19102_spr_mid_d	SRR34919966
NL_19102_spr_rec_d	SRR34919965
NL_19102_sum_ile_d	SRR34919964
NL_19102_sum_mid_d	SRR34920288
NL_19102_sum_rec_d	SRR34920287
NL_19103_aut_ile_d	SRR34920286
NL_19103_aut_mid_d	SRR34920285
NL_19103_aut_rec_d	SRR34920284
NL_19103_spr_ile_d	SRR34919979
NL_19103_spr_mid_d	SRR34919978
NL_19103_spr_rec_d	SRR34919977
NL_19103_sum_ile_d	SRR34919976
NL_19103_sum_mid_d	SRR34919975
NL_19103_sum_rec_d	SRR34919973
NL_19104_aut_ile_d	SRR34919972
NL_19104_aut_mid_d	SRR34919971
NL_19104_aut_rec_d	SRR34919970
NL_19104_spr_ile_d	SRR34919969
NL_19104_spr_mid_d	SRR34919968
NL_19104_spr_rec_d	SRR34919967
NL_19104_sum_ile_d	SRR34920065
NL_19104_sum_mid_d	SRR34920064
NL_19104_sum_rec_d	SRR34920063
NL_20378_aut_ile_d	SRR34919962
NL_20378_aut_mid_d	SRR34919961
NL_20378_aut_rec_d	SRR34919960
NL_20378_spr_ile_d	SRR34919959
NL_20378_spr_mid_d	SRR34919958
NL_20378_spr_rec_d	SRR34919957
NL_20378_sum_ile_d	SRR34919956
NL_20378_sum_mid_d	SRR34920076
NL_20378_sum_rec_d	SRR34920075
PT_19407_aut_ile_d	SRR34920074
PT_19407_aut_mid_d	SRR34920072
PT_19407_aut_rec_d	SRR34920071
PT_19407_spr_ile_d	SRR34920070
PT_19407_spr_mid_d	SRR34920069
PT_19407_spr_rec_d	SRR34920068
PT_19407_sum_ile_d	SRR34920067
PT_19407_sum_mid_d	SRR34920066
PT_19407_sum_rec_d	SRR34920274
PT_19408_aut_ile_d	SRR34920273
PT_19408_aut_mid_d	SRR34920272
PT_19408_aut_rec_d	SRR34920061
PT_19408_spr_ile_d	SRR34920060
PT_19408_spr_mid_d	SRR34920059
PT_19408_spr_rec_d	SRR34920058
PT_19408_sum_ile_d	SRR34920057
PT_19408_sum_mid_d	SRR34920056
PT_19408_sum_rec_d	SRR34920055
PT_19409_aut_ile_d	SRR34920054
PT_19409_aut_mid_d	SRR34920053
PT_19409_aut_rec_d	SRR34920283
PT_19409_spr_ile_d	SRR34920280
PT_19409_spr_mid_d	SRR34920279
PT_19409_spr_rec_d	SRR34920278
PT_19409_sum_ile_d	SRR34920277
PT_19409_sum_mid_d	SRR34920276
PT_19409_sum_rec_d	SRR34920275
PT_19410_aut_ile_d	SRR34919900
PT_19410_aut_mid_d	SRR34919899
PT_19410_aut_rec_d	SRR34919898
PT_19410_spr_ile_d	SRR34920271
PT_19410_spr_mid_d	SRR34920269
PT_19410_spr_rec_d	SRR34920268
PT_19410_sum_ile_d	SRR34920267
PT_19410_sum_mid_d	SRR34920266
PT_19410_sum_rec_d	SRR34920265
PT_19411_aut_ile_d	SRR34920264
PT_19411_aut_mid_d	SRR34920263
PT_19411_aut_rec_d	SRR34920262
PT_19411_spr_ile_d	SRR34920261
