contig;Subgroup
NODE_A127_length_4603_cov_14.319708_NL_19101_sum_mid_d;Family3
NODE_A204_length_3382_cov_4.839032_NL_19102_sum_mid_d;Family3
NODE_A61_length_3649_cov_3.814950_CH_17685_sum_mid_d;Family3
NODE_A56_length_4567_cov_10.617595_PT_19413_sum_mid_d;Family3
NODE_A90_length_4554_cov_7.517981_NL_19103_aut_mid_d;Family3
NODE_A325_length_3171_cov_5.141564_DE_18032_sum_mid_d;Family3
NODE_A604_length_2627_cov_3.416863_BE_16557_sum_mid_d;Family3
NODE_A915_length_2546_cov_9.356825_UK_14502_sum_mid_d;Family3
NODE_A118_length_2579_cov_5.429656_CH_17685_sum_mid_d;Family3
NODE_A78_length_4754_cov_21.903143_NL_19100_aut_mid_d;Family3
NODE_A142_length_3237_cov_3.329747_NL_19100_aut_mid_d;Family3
NODE_A865_length_3343_cov_4.119106_BE_16563_sum_rec_d;Family3
NODE_A658_length_3604_cov_9.669974_CH_17690_aut_rec_d;Family3
NODE_A201_length_2523_cov_4.428863_NL_19100_aut_mid_d;Family3
NODE_A183_length_2652_cov_5.930097_BE_16558_aut_mid_d;Family3
NODE_A349_length_3073_cov_8.944259_DE_18032_sum_mid_d;Family3
NODE_A585_length_2664_cov_6.759954_BE_16557_sum_mid_d;Family3
NODE_A1016_length_2392_cov_5.037149_DE_18030_spr_mid_d;Family3
NODE_A302_length_3373_cov_8.306735_DE_18032_sum_mid_d;Family3
NODE_A51_length_2382_cov_2.875054_PT_19414_aut_mid_d;Family3
NODE_A118_length_4749_cov_11.142337_DE_18029_spr_mid_d;Family3
NODE_A319_length_3256_cov_8.011953_DE_18032_sum_mid_d;Family3
NODE_A270_length_3672_cov_5.286231_DE_18032_sum_mid_d;Family3
NODE_A281_length_3572_cov_5.570243_DE_18032_sum_mid_d;Family3
NODE_A242_length_2951_cov_205.997216_UK_14498_aut_mid_d;Family3
NODE_A546_length_2898_cov_5.735555_DE_18033_spr_rec_d;Family3
NODE_A503_length_2514_cov_2.524415_DE_18032_sum_mid_d;Family3
NODE_A163_length_4697_cov_16.935931_BE_16557_sum_mid_d;Family3
NODE_A83_length_3719_cov_4.086216_CH_17687_sum_mid_d;Family3
NODE_A197_length_2535_cov_7.451180_NL_19100_aut_mid_d;Family3
NODE_A382_length_3326_cov_22.814404_BE_16557_sum_mid_d;Family3
NODE_A167_length_2857_cov_9.083453_NL_19100_aut_mid_d;Family3
NODE_A47_length_2869_cov_3.224212_RO_17378_aut_mid_d;Family3
NODE_A90_length_3326_cov_4.495845_PT_19414_sum_mid_d;Family3
NODE_A415_length_2797_cov_3.261397_DE_18032_sum_mid_d;Family3
NODE_A200_length_3406_cov_4.961850_NL_19102_sum_mid_d;Family3
NODE_A16_length_2771_cov_4.187825_FR_19769_aut_mid_d;Family3
NODE_A915_length_2497_cov_4.279339_DE_18030_spr_mid_d;Family3
NODE_A693_length_2768_cov_5.865106_BE_16562_aut_mid_d;Family3
NODE_A85_length_4603_cov_70.521432_NL_19100_aut_mid_d;Family3
NODE_A234_length_3529_cov_4.048378_DE_18029_spr_mid_d;Family3
NODE_A151_length_3001_cov_5.402189_NL_19100_aut_mid_d;Family3
NODE_A108_length_4311_cov_8.448748_BE_16562_sum_mid_d;Family3
NODE_A464_length_3013_cov_6.260559_BE_16557_sum_mid_d;Family3
NODE_A88_length_4568_cov_20.535961_BE_16562_sum_mid_d;Family3
NODE_A49_length_4199_cov_68.504124_RO_26022_aut_mid_d;Family3
NODE_A140_length_2914_cov_4.026436_CH_17687_sum_mid_d;Family3
NODE_A760_length_2315_cov_3.417337_BE_16557_sum_mid_d;Family3
NODE_A73_length_4199_cov_9.355653_BE_16561_aut_mid_d;Family3
NODE_A216_length_4192_cov_5.372783_DE_18032_sum_mid_d;Family3
NODE_A44_length_4609_cov_21.540821_BE_16561_aut_mid_d;Family3
NODE_A753_length_2727_cov_9.589057_DE_18030_spr_mid_d;Family3
NODE_A173_length_4526_cov_15.803551_DE_18032_sum_mid_d;Family3
NODE_A37_length_4821_cov_4.298904_BE_16561_aut_mid_d;Family3
NODE_A387_length_2931_cov_8.309390_DE_18032_sum_mid_d;Family3
NODE_A109_length_3266_cov_24.559737_BE_16561_aut_mid_d;Family3
NODE_A158_length_2876_cov_6.415863_BE_16558_aut_mid_d;Family3
NODE_A116_length_2596_cov_3.243351_CH_17685_sum_mid_d;Family3
NODE_A68_length_2520_cov_6.830946_CH_17692_aut_mid_d;Family3
NODE_A193_length_4434_cov_5.164104_DE_18032_sum_mid_d;Family3
NODE_A261_length_3346_cov_6.408688_NL_19104_aut_mid_d;Family3
NODE_A505_length_2509_cov_14.061266_DE_18032_sum_mid_d;Family3
NODE_A51_length_4398_cov_8.150197_RO_17378_spr_mid_d;Family3
NODE_A84_length_4629_cov_22.673550_NL_19100_aut_mid_d;Family3
NODE_A77_length_4772_cov_41.522045_NL_19100_aut_mid_d;Family3
NODE_A425_length_3399_cov_14.660446_DE_18030_spr_mid_d;Family3
NODE_A209_length_4277_cov_4.883333_DE_18032_sum_mid_d;Family3
NODE_A56_length_4400_cov_134.820264_BE_16563_aut_mid_d;Family3
NODE_A954_length_2499_cov_6.338976_UK_14502_sum_mid_d;Family3
NODE_A211_length_2481_cov_4.925957_NL_19100_aut_mid_d;Family3
NODE_B24_length_3386_cov_3.967060_PT_19410_spr_mid_d;Family3
NODE_A234_length_3940_cov_8.723272_DE_18032_sum_mid_d;Family3
NODE_A380_length_2425_cov_2.629898_BE_16562_sum_mid_d;Family3
NODE_A94_length_3695_cov_12.080984_BE_16561_aut_mid_d;Family3
NODE_A410_length_2621_cov_5.312500_NL_19104_aut_mid_d;Family3
NODE_A9_length_4411_cov_19.817951_UK_15140_sum_mid_d;Family3
NODE_A39_length_4722_cov_5.310011_BE_16561_aut_mid_d;Family3
NODE_A21_length_5137_cov_10.317194_NL_19102_aut_mid_d;Family3
NODE_A150_length_4354_cov_15.787935_NL_19104_aut_mid_d;Family3
NODE_A726_length_3463_cov_7.393680_CH_17690_aut_rec_d;Family3
NODE_A97_length_3629_cov_11.215372_BE_16561_aut_mid_d;Family3
NODE_A687_length_4123_cov_4.427830_CH_17687_aut_mid_d;Family3
NODE_A206_length_2481_cov_3.813644_RO_17363_spr_mid_d;Family3
NODE_A161_length_3387_cov_5.175227_NL_19103_aut_mid_d;Family3
NODE_A637_length_2904_cov_3.226035_BE_16562_aut_mid_d;Family3
NODE_A313_length_3084_cov_14.820752_NL_19101_sum_mid_d;Family3
NODE_A166_length_4160_cov_12.549106_NL_19101_sum_mid_d;Family3
NODE_A91_length_2348_cov_4.198151_BE_16560_aut_mid_d;Family3
NODE_A137_length_2886_cov_2.866857_FR_19767_sum_mid_d;Family3
NODE_A34_length_4303_cov_4.720066_NL_19104_sum_mid_d;Family3
NODE_A35_length_5869_cov_47.626554_BE_16558_aut_mid_d;Family3
NODE_A1230_length_2619_cov_4.448072_CH_17690_aut_rec_d;Family3
NODE_A667_length_2539_cov_11.099106_BE_16560_spr_mid_d;Family3
NODE_A166_length_4646_cov_41.831254_BE_16556_spr_mid_d;Family3
NODE_A605_length_4339_cov_10.394416_NL_20378_spr_rec_d;Family3
NODE_A52_length_4438_cov_19.766109_BE_16561_aut_mid_d;Family3
NODE_A145_length_2999_cov_7.445585_BE_16558_aut_mid_d;Family3
NODE_A983_length_2423_cov_5.580136_DE_18030_spr_mid_d;Family3
NODE_A333_length_2564_cov_4.802171_BE_16562_sum_mid_d;Family3
NODE_A11_length_4285_cov_9.759981_CH_17692_aut_mid_d;Family3
NODE_A65_length_3902_cov_6.593987_BE_16556_aut_mid_d;Family3
NODE_A261_length_5386_cov_10.952910_CH_17690_aut_rec_d;Family3
NODE_A61_length_3923_cov_8.972699_PT_19414_sum_mid_d;Family3
NODE_A321_length_2746_cov_4.733983_NL_19102_sum_mid_d;Family3
NODE_A236_length_4387_cov_9.518097_BE_16560_spr_mid_d;Family3
NODE_A39_length_4487_cov_41.731066_BE_16556_aut_mid_d;Family3
NODE_A297_length_3405_cov_12.127404_DE_18032_sum_mid_d;Family3
NODE_A158_length_2594_cov_3.419944_BE_16558_spr_mid_d;Family3
NODE_A184_length_4476_cov_39.800637_DE_18032_sum_mid_d;Family3
NODE_A68_length_4256_cov_6.230916_BE_16561_aut_mid_d;Family3
NODE_A34_length_4407_cov_41.075751_NL_19102_aut_mid_d;Family3
NODE_A137_length_3907_cov_8.359530_PT_19410_aut_mid_d;Family3
NODE_A650_length_3619_cov_5.091756_CH_17690_aut_rec_d;Family4
NODE_A244_length_5520_cov_47.496601_CH_17690_aut_rec_d;Family4
NODE_A47_length_5968_cov_18.190630_NL_19100_aut_mid_d;Family4
NODE_A201_length_5870_cov_28.080615_CH_17690_aut_rec_d;Family4
NODE_A138_length_2983_cov_4.790434_CH_17687_sum_mid_d;Family6
NODE_B1_length_7135_cov_18.058515_CH_17692_aut_mid_d;Family8
NODE_A202_length_5854_cov_84.473083_CH_17690_aut_rec_d;Family8
NODE_A2_length_7077_cov_11.382286_RO_17378_aut_mid_d;Family8
NODE_A22_length_3803_cov_8.449275_CH_17692_aut_mid_d;Family10
NODE_A32_length_3564_cov_5.852022_RO_17378_aut_mid_d;Family10
NODE_A208_length_5779_cov_24.769204_CH_17690_aut_rec_d;Family13
