Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","620","Portugal","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","6743.854","X","Figure from international organizations",""
"OA","Annual population","620","Portugal","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","10370.519","X","Figure from international organizations",""
"OA","Annual population","620","Portugal","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","4926.734","X","Figure from international organizations",""
"OA","Annual population","620","Portugal","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","5443.784","X","Figure from international organizations",""
"OA","Annual population","620","Portugal","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","3442.606","X","Figure from international organizations",""
"OA","Annual population","620","Portugal","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","6775.807","X","Figure from international organizations",""
"OA","Annual population","642","Romania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","19501.542","X","Figure from international organizations",""
"OA","Annual population","642","Romania","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","9444.048","X","Figure from international organizations",""
"OA","Annual population","642","Romania","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","10057.494","X","Figure from international organizations",""
"OA","Annual population","642","Romania","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","8946.041","X","Figure from international organizations",""
"OA","Annual population","642","Romania","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","10537.319","X","Figure from international organizations",""
"OA","Annual population","642","Romania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","19392.469","X","Figure from international organizations",""
"OA","Annual population","642","Romania","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","9395.409","X","Figure from international organizations",""
"OA","Annual population","642","Romania","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","9997.059","X","Figure from international organizations",""
"OA","Annual population","642","Romania","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","8880.997","X","Figure from international organizations",""
"OA","Annual population","642","Romania","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","10507.365","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","8577.524","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","4254.229","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","4323.295","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","2251.16","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","6357.099","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","8640.582","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","4287.099","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","4353.483","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","2261.695","X","Figure from international organizations",""
"OA","Annual population","756","Switzerland","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","6408.84","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","67110.958","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","32992.981","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","34117.977","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","10946.74","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","56012.276","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","67351.861","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","33128.76","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","34223.101","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","10839.028","X","Figure from international organizations",""
"OA","Annual population","826","United Kingdom of Great Britain and Northern Ireland","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","56495.18","X","Figure from international organizations",""
