SRR10418296	Deboutte
SRR10418297	Deboutte
SRR10418298	Deboutte
SRR10418299	Deboutte
SRR10418300	Deboutte
SRR10418301	Deboutte
SRR10418302	Deboutte
SRR10418303	Deboutte
SRR10418304	Deboutte
SRR10418305	Deboutte
SRR10418306	Deboutte
SRR10418307	Deboutte
SRR10418308	Deboutte
SRR10418309	Deboutte
SRR10418310	Deboutte
SRR10418311	Deboutte
SRR10418312	Deboutte
SRR10418313	Deboutte
SRR10418314	Deboutte
SRR10418315	Deboutte
SRR10418316	Deboutte
SRR10418317	Deboutte
SRR10418318	Deboutte
SRR10418319	Deboutte
SRR10418320	Deboutte
SRR10418321	Deboutte
SRR10418322	Deboutte
SRR10418323	Deboutte
SRR10418324	Deboutte
SRR10418325	Deboutte
SRR10418326	Deboutte
SRR10418327	Deboutte
SRR10418328	Deboutte
SRR10418329	Deboutte
SRR10418330	Deboutte
SRR10418331	Deboutte
SRR10418332	Deboutte
SRR10418333	Deboutte
SRR10418334	Deboutte
SRR10418335	Deboutte
SRR10418336	Deboutte
SRR10418337	Deboutte
SRR10418338	Deboutte
SRR10418339	Deboutte
SRR10418340	Deboutte
SRR10418341	Deboutte
SRR10418342	Deboutte
SRR10418343	Deboutte
SRR10418344	Deboutte
SRR10418345	Deboutte
SRR10418346	Deboutte
SRR10418347	Deboutte
SRR10418348	Deboutte
SRR10418349	Deboutte
SRR10418350	Deboutte
SRR10418351	Deboutte
SRR10418352	Deboutte
SRR10418353	Deboutte
SRR10418354	Deboutte
SRR10418355	Deboutte
SRR10418356	Deboutte
SRR10418357	Deboutte
SRR10418358	Deboutte
SRR10418359	Deboutte
SRR10418360	Deboutte
SRR10418361	Deboutte
SRR10418362	Deboutte
SRR10418363	Deboutte
SRR10418364	Deboutte
SRR10418365	Deboutte
SRR10418366	Deboutte
SRR10418367	Deboutte
SRR10418368	Deboutte
SRR10418369	Deboutte
SRR10418370	Deboutte
SRR10418371	Deboutte
SRR10418372	Deboutte
SRR10418373	Deboutte
SRR10418374	Deboutte
SRR10418375	Deboutte
SRR10418376	Deboutte
SRR10418377	Deboutte
SRR10418378	Deboutte
SRR10418379	Deboutte
SRR10418380	Deboutte
SRR10418381	Deboutte
SRR10418382	Deboutte
SRR10418383	Deboutte
SRR10418384	Deboutte
SRR10418385	Deboutte
SRR10418386	Deboutte
SRR10418387	Deboutte
SRR10418388	Deboutte
SRR10418389	Deboutte
SRR10418390	Deboutte
SRR10418391	Deboutte
SRR10418392	Deboutte
SRR10418393	Deboutte
SRR10418394	Deboutte
SRR10418395	Deboutte
SRR10418396	Deboutte
SRR10418397	Deboutte
SRR17894216	Busby
SRR10838797	Bonilla
SRR10838798	Bonilla
SRR27841368	Sbardellati
SRR27841372	Sbardellati
SRR27841389	Sbardellati
SRR26434580	Feng
SRR26434581	Feng
SRR26434582	Feng
SRR26434583	Feng
SRR26434584	Feng
SRR26434585	Feng
SRR32613878	Ndiaye
SRR32613877	Ndiaye
SRR32613866	Ndiaye
SRR32613855	Ndiaye
SRR32613844	Ndiaye
SRR32613833	Ndiaye
SRR32613822	Ndiaye
SRR32613811	Ndiaye
SRR32613800	Ndiaye
SRR32613789	Ndiaye
SRR32613876	Ndiaye
SRR32613875	Ndiaye
SRR32613874	Ndiaye
SRR32613873	Ndiaye
SRR32613872	Ndiaye
SRR32613871	Ndiaye
SRR32613870	Ndiaye
SRR32613869	Ndiaye
SRR32613868	Ndiaye
SRR32613867	Ndiaye
SRR32613865	Ndiaye
SRR32613864	Ndiaye
SRR32613863	Ndiaye
SRR32613862	Ndiaye
SRR32613861	Ndiaye
SRR32613860	Ndiaye
SRR32613859	Ndiaye
SRR32613858	Ndiaye
SRR32613857	Ndiaye
SRR32613856	Ndiaye
SRR32613854	Ndiaye
SRR32613853	Ndiaye
SRR32613852	Ndiaye
SRR32613851	Ndiaye
SRR32613850	Ndiaye
SRR32613849	Ndiaye
SRR32613848	Ndiaye
SRR32613847	Ndiaye
SRR32613846	Ndiaye
SRR32613845	Ndiaye
SRR32613843	Ndiaye
SRR32613842	Ndiaye
SRR32613841	Ndiaye
SRR32613840	Ndiaye
SRR32613839	Ndiaye
SRR32613838	Ndiaye
SRR32613837	Ndiaye
SRR32613836	Ndiaye
SRR32613835	Ndiaye
