contig,Host_group
NODE_A193_length_4434_cov_5.164104_DE_18032_sum_mid_d,other
NODE_A194_length_4426_cov_53.543113_DE_18032_sum_mid_d,other
NODE_A198_length_4404_cov_19.397273_BE_16557_sum_mid_d,other
NODE_A199_length_4394_cov_3.690757_BE_16557_sum_mid_d,other
NODE_A19_length_16013_cov_13.224272_PT_19408_sum_rec_d,Lactobacillus
NODE_A19_length_18560_cov_35.922740_BE_16557_spr_rec_d,Bifidobacterium
NODE_A19_length_18645_cov_1005.399505_RO_17382_aut_rec_d,Bifidobacterium
NODE_A19_length_18666_cov_3570.327429_DE_18028_aut_mid_g,Bifidobacterium
NODE_A19_length_18764_cov_44.264944_RO_26022_aut_rec_d,Bifidobacterium
NODE_A19_length_19453_cov_4891.226011_UK_14502_sum_rec_d,Bifidobacterium
NODE_A19_length_19599_cov_106.817129_DE_18032_sum_rec_d,Bifidobacterium
NODE_A19_length_19854_cov_17.497952_FR_19767_sum_rec_d,Snodgrassella
NODE_A19_length_20748_cov_57.579895_DE_18028_spr_rec_d,Gilliamella
NODE_A19_length_21429_cov_272.149307_BE_16562_aut_ile_d,Lactobacillus
NODE_A19_length_21544_cov_34.689523_PT_19412_spr_rec_d,Lactobacillus
NODE_A19_length_24283_cov_272.632653_NL_19101_spr_rec_d,Snodgrassella
NODE_A19_length_29155_cov_20.951407_CH_17688_aut_mid_d,other
NODE_A19_length_29183_cov_73.199856_PT_19414_sum_rec_d,Bartonella
NODE_A19_length_31742_cov_17.743281_NL_20378_spr_rec_d,other
NODE_A19_length_32236_cov_31.939270_UK_14502_sum_mid_d,Bifidobacterium
NODE_A19_length_35191_cov_34.731617_BE_16560_aut_ile_d,Bartonella
NODE_A19_length_9940_cov_86.872554_DE_18027_sum_rec_d,Bifidobacterium
NODE_A1V_length_70723V67263_cov_25.197562_UK_24337_sum_rec_d,Bartonella
NODE_A1_length_116637_cov_139.406246_DE_18029_sum_rec_d,Bifidobacterium
NODE_A1_length_118820_cov_310.189156_NL_19104_spr_rec_d,Bifidobacterium
NODE_A1_length_119401_cov_250.154546_NL_19101_aut_rec_d,Bifidobacterium
NODE_A1_length_119866_cov_1286.943668_PT_19413_spr_rec_d,Bifidobacterium
NODE_A1_length_137791_cov_223.736752_BE_16557_spr_rec_d,Lactobacillus
NODE_A1_length_139472_cov_35.501367_UK_14502_sum_mid_d,other
NODE_A1_length_143605_cov_178.505950_CH_17692_sum_rec_d,Lactobacillus
NODE_A1_length_146894_cov_474.593378_FR_19767_sum_rec_d,Lactobacillus
NODE_A1_length_147966_cov_370.864946_BE_16560_spr_rec_d,Lactobacillus
NODE_A1_length_148288_cov_447.343564_RO_17378_sum_rec_d,Lactobacillus
NODE_A1_length_151991_cov_339.651750_PT_19412_aut_rec_d,Lactobacillus
NODE_A1_length_17261_cov_38.522986_FR_19771_sum_rec_d,Lactobacillus
NODE_A1_length_17394_cov_102.333892_UK_23922_sum_rec_d,Lactobacillus
NODE_A1_length_18110_cov_285.463133_UK_14498_aut_ile_d,Bifidobacterium
NODE_A1_length_18566_cov_85.502172_PT_19410_spr_ile_d,Bifidobacterium
NODE_A1_length_18923_cov_83.452895_FR_19773_sum_ile_d,Bifidobacterium
NODE_A1_length_19003_cov_29.086706_UK_15141_aut_rec_d,Bifidobacterium
NODE_A1_length_19080_cov_17.103513_FR_19772_aut_ile_d,Bifidobacterium
NODE_A1_length_22340_cov_13.315950_UK_15140_aut_ile_d,Bifidobacterium
NODE_A1_length_23400_cov_16.439137_FR_19773_aut_rec_d,Gilliamella
NODE_A1_length_23661_cov_16.291638_PT_19407_spr_mid_d,other
NODE_A1_length_25406_cov_92.369813_FR_19767_aut_rec_d,Frischella
NODE_A1_length_25597_cov_12.749647_DE_18031_sum_mid_d,other
NODE_A1_length_25904_cov_37.941069_BE_16561_spr_ile_d,Gilliamella
NODE_A1_length_25929_cov_20.418227_DE_18033_aut_ile_g,other
NODE_A1_length_27250_cov_27.957936_UK_15141_spr_rec_d,Lactobacillus
NODE_A1_length_28526_cov_260.177124_UK_23922_aut_ile_d,Bifidobacterium
NODE_A1_length_28777_cov_284.019652_UK_14502_aut_ile_d,Bifidobacterium
NODE_A1_length_30051_cov_21.512511_DE_18030_spr_ile_d,Gilliamella
NODE_A1_length_31649_cov_130.298872_FR_19769_sum_rec_d,Bifidobacterium
NODE_A1_length_32339_cov_25.335813_RO_17382_sum_rec_d,Bifidobacterium
NODE_A1_length_32464_cov_239.407972_NL_20378_aut_ile_d,Bifidobacterium
NODE_A1_length_32611_cov_28.840014_RO_17371_sum_ile_d,Bartonella
NODE_A1_length_33651_cov_116.577381_PT_19414_sum_mid_d,Gilliamella
NODE_A1_length_34269_cov_49.782610_PT_19412_spr_mid_d,other
NODE_A1_length_34685_cov_193.526352_NL_19103_spr_ile_d,Gilliamella
NODE_A1_length_36817_cov_84.598204_BE_16561_spr_rec_d,Bifidobacterium
NODE_A1_length_38627_cov_63.375512_BE_16559_sum_rec_d,Bifidobacterium
NODE_A1_length_39009_cov_267.424766_FR_19770_aut_rec_d,Lactobacillus
NODE_A1_length_39776_cov_33.534396_PT_19410_sum_ile_d,Bartonella
NODE_A1_length_41037_cov_30.414697_DE_18029_spr_ile_d,Gilliamella
NODE_A1_length_41242_cov_62.344200_RO_26022_aut_ile_d,other
NODE_A1_length_41336_cov_22.305242_DE_18031_sum_ile_d,Bartonella
NODE_A1_length_41549_cov_41.734447_DE_18031_spr_rec_d,other
NODE_A1_length_42876_cov_994.754574_BE_16556_spr_rec_d,Lactobacillus
NODE_A1_length_43982_cov_25.008792_RO_17363_spr_ile_d,Lactobacillus
NODE_A1_length_44653_cov_48.067099_RO_17381_sum_ile_d,Lactobacillus
NODE_A1_length_46943_cov_344.244484_NL_19102_aut_mid_d,Gilliamella
NODE_A1_length_47039_cov_18.842788_DE_18032_sum_mid_d,other
NODE_A1_length_47240_cov_57.148570_DE_18027_sum_ile_d,Gilliamella
NODE_A1_length_47758_cov_115.249701_PT_19414_spr_mid_d,Gilliamella
NODE_A1_length_50003_cov_64.571566_NL_19100_aut_mid_d,Bartonella
NODE_A1_length_50164_cov_64.828059_PT_19411_sum_rec_d,Bartonella
NODE_A1_length_50352_cov_75.230910_PT_19407_aut_rec_d,Bombella
NODE_A1_length_52615_cov_196.278161_CH_17689_aut_mid_d,Gilliamella
NODE_A1_length_53493_cov_225.064269_PT_19414_aut_rec_d,other
NODE_A1_length_55924_cov_35.799703_DE_18033_spr_mid_d,Gilliamella
NODE_A1_length_62270_cov_141.010049_FR_19773_sum_rec_d,other
NODE_A1_length_63711_cov_102.568517_CH_17687_sum_rec_d,Bartonella
NODE_A1_length_63778_cov_11264.700099_CH_17690_aut_rec_d,Bartonella
NODE_A1_length_64877_cov_246.015432_BE_16558_sum_rec_d,Bartonella
NODE_A1_length_64922_cov_1089.073745_CH_17690_sum_rec_d,Bartonella
NODE_A1_length_73023_cov_319.948099_PT_19413_spr_mid_d,Gilliamella
NODE_A1_length_73530_cov_277.772249_RO_17363_spr_mid_d,other
NODE_A1_length_74306_cov_62.536785_UK_15141_sum_rec_d,Bifidobacterium
NODE_A1_length_74609_cov_73.547684_RO_26022_aut_rec_d,Snodgrassella
NODE_A1_length_74714_cov_82.451599_BE_16558_spr_rec_d,Snodgrassella
NODE_A1_length_76989_cov_64.128810_PT_19413_sum_rec_d,other
NODE_A1_length_84617_cov_20.025905_BE_16560_aut_ile_d,other
NODE_A1_length_89356_cov_35.407845_DE_18027_spr_mid_d,other
NODE_A1_length_95938_cov_75.466770_UK_14502_sum_rec_d,Lactobacillus
NODE_A1_length_96394_cov_26.504667_UK_14502_aut_rec_d,Bifidobacterium
NODE_A1_length_98126_cov_67.302033_BE_16557_aut_rec_d,Lactobacillus
NODE_A2029_length_2469_cov_6.364967_PT_19410_aut_rec_d,Lactobacillus
NODE_A207_length_4295_cov_5.905405_DE_18032_sum_mid_d,other
NODE_A20_length_16299_cov_1627.734123_PT_19409_aut_rec_d,Lactobacillus
NODE_A20_length_18263_cov_1249.250872_DE_18030_spr_rec_d,Bifidobacterium
NODE_A20_length_18386_cov_114.044521_RO_26022_aut_rec_d,Bifidobacterium
NODE_A20_length_18399_cov_117.311483_DE_18028_aut_mid_g,Bifidobacterium
NODE_A20_length_18420_cov_49.892523_FR_19772_aut_rec_d,Bifidobacterium
NODE_A20_length_18594_cov_199.969271_BE_16560_spr_rec_d,Bifidobacterium
NODE_A20_length_18599_cov_431.078501_RO_17382_aut_rec_d,Bifidobacterium
NODE_A20_length_19395_cov_53.721189_FR_19767_sum_rec_d,Bifidobacterium
NODE_A20_length_19575_cov_35.813930_PT_19410_spr_rec_d,Gilliamella
NODE_A20_length_19586_cov_779.577633_DE_18032_sum_rec_d,Bifidobacterium
NODE_A20_length_23144_cov_47.515498_BE_16557_sum_rec_d,Gilliamella
NODE_A20_length_24143_cov_75.300798_NL_19103_spr_rec_d,Lactobacillus
NODE_A20_length_25169_cov_293.409772_BE_16560_sum_rec_d,Lactobacillus
NODE_A20_length_25905_cov_28.349233_PT_19414_sum_rec_d,Gilliamella
NODE_A20_length_29251_cov_17.589703_PT_19413_sum_rec_d,Lactobacillus
NODE_A20_length_31954_cov_23.073752_CH_17692_sum_ile_d,Lactobacillus
NODE_A20_length_32165_cov_63.149433_NL_19103_aut_rec_d,Bifidobacterium
NODE_A20_length_32230_cov_5449.738936_BE_16560_aut_ile_d,Bifidobacterium
NODE_A20_length_33433_cov_266.863653_NL_19104_spr_rec_d,Lactobacillus
NODE_A20_length_34929_cov_29.009555_NL_19104_aut_rec_d,other
NODE_A211_length_2481_cov_4.925957_NL_19100_aut_mid_d,other
NODE_A214_length_4448_cov_10.500801_DE_18030_spr_mid_d,other
NODE_A21_length_14424_cov_238.019307_RO_17371_sum_rec_d,Bifidobacterium
NODE_A21_length_16292_cov_1285.101388_PT_19409_aut_rec_d,Lactobacillus
NODE_A21_length_18227_cov_30.280110_BE_16558_spr_rec_d,Bifidobacterium
NODE_A21_length_18264_cov_62.025348_BE_16558_sum_rec_d,Bifidobacterium
NODE_A21_length_18497_cov_6128.688597_RO_17382_aut_rec_d,Bifidobacterium
NODE_A21_length_18595_cov_48.579760_PT_19410_spr_rec_d,Bifidobacterium
NODE_A21_length_18903_cov_1482.123551_FR_19767_sum_rec_d,Bifidobacterium
NODE_A21_length_20343_cov_53.143936_RO_17381_sum_rec_d,Lactobacillus
NODE_A21_length_20860_cov_16.270028_CH_17691_aut_rec_d,Lactobacillus
NODE_A21_length_27554_cov_85.077337_CH_17692_sum_rec_d,Gilliamella
NODE_A21_length_28752_cov_27.936635_NL_20378_spr_rec_d,other
NODE_A21_length_28800_cov_53.851234_PT_19413_sum_rec_d,Bartonella
NODE_A21_length_31930_cov_69.390701_NL_19103_aut_rec_d,Bifidobacterium
NODE_A224_length_4051_cov_8.931807_DE_18032_sum_mid_d,other
NODE_A22_length_18153_cov_1297.685218_FR_19773_sum_rec_d,Bifidobacterium
